Container is store 1000 plants:
Shrub: name = vlpkfyulljnguiq, type = December, task = 0.26666666666666666
Tree: name = islgmxmhuhycdug, year = 1992, task = 0.26666666666666666
Flower: name = ldnhzenhvohdihh, type = Garden, task = 0.2
Tree: name = mcbkucjustjybol, year = 104, task = 0.26666666666666666
Shrub: name = gkfutwwptzjejlt, type = March, task = 0.13333333333333333
Flower: name = ikhukkagjlnrpts, type = Wild, task = 0.2
Shrub: name = vtidhjghhvjnzdg, type = July, task = 0.06666666666666667
Shrub: name = lwelhqriyntdzwk, type = November, task = 0.2
Tree: name = eszjekxqydnolse, year = 551, task = 0.3333333333333333
Shrub: name = fflfyigjwnmjgxl, type = March, task = 0.13333333333333333
Tree: name = aucypotkevogcvg, year = 1191, task = 0.4
Flower: name = dokrefuldxkzcof, type = Wild, task = 0.26666666666666666
Tree: name = xlpfgpmzpjoefbk, year = 1518, task = 0.13333333333333333
Tree: name = wpogrcvncayyvvf, year = 1027, task = 0.26666666666666666
Flower: name = nmavycquxyjxomj, type = Wild, task = 0.3333333333333333
Shrub: name = zallopqlebcwcme, type = August, task = 0.26666666666666666
Flower: name = rsmmdzrdwnxwtjz, type = Wild, task = 0.0
Tree: name = qmpatndueclnnkg, year = 782, task = 0.2
Shrub: name = ycasnbzxvgoifax, type = October, task = 0.3333333333333333
Shrub: name = puvjyyvqlsguapg, type = June, task = 0.3333333333333333
Shrub: name = iquhptbqywnihgv, type = March, task = 0.26666666666666666
Flower: name = gnwsmtncpxyrhne, type = Garden, task = 0.13333333333333333
Flower: name = cbgxmbhzojvangb, type = Wild, task = 0.13333333333333333
Tree: name = hdwdslbuaaawkfe, year = 1583, task = 0.3333333333333333
Flower: name = eabzajzobaytcak, type = Garden, task = 0.4666666666666667
Shrub: name = cykckefrgxhozfq, type = June, task = 0.2
Flower: name = orkppvufatmccxn, type = Wild, task = 0.2
Tree: name = hvauxansdeepjdw, year = 1593, task = 0.3333333333333333
Flower: name = hnccwrrbtxxinws, type = Wild, task = 0.06666666666666667
Shrub: name = hordzfimzbyppkm, type = March, task = 0.2
Shrub: name = jcvpdpggcrrkeeq, type = August, task = 0.13333333333333333
Shrub: name = apqxybklapphlqr, type = February, task = 0.2
Shrub: name = ujguieafzzraprj, type = October, task = 0.4
Tree: name = cjofxkdnayvzcqo, year = 1595, task = 0.26666666666666666
Flower: name = vafxhcoixasyoua, type = Wild, task = 0.5333333333333333
Shrub: name = yrrommsfypdypcw, type = July, task = 0.26666666666666666
Flower: name = smfhpipaymsvddq, type = Wild, task = 0.2
Shrub: name = fbpvpbdwgkrsksc, type = August, task = 0.0
Tree: name = gykmhaybprqzbzv, year = 1020, task = 0.2
Tree: name = syhgxdsdwzgksyl, year = 1076, task = 0.13333333333333333
Tree: name = fwfxvvbarojxbji, year = 963, task = 0.2
Shrub: name = vweqbzoydbsjrtc, type = December, task = 0.2
Tree: name = gvgjrdldiwvmfri, year = 632, task = 0.13333333333333333
Tree: name = ngjdebdtesthycn, year = 757, task = 0.2
Shrub: name = dvemxvyoojujjnd, type = December, task = 0.3333333333333333
Shrub: name = drpxfqsrwfaugfw, type = July, task = 0.13333333333333333
Shrub: name = quotutojevkrnsu, type = August, task = 0.4
Flower: name = ecujbjssdsbzjtn, type = Garden, task = 0.13333333333333333
Shrub: name = fpbefjpngbwjwsj, type = April, task = 0.06666666666666667
Shrub: name = ubtheusscunxnla, type = April, task = 0.3333333333333333
Flower: name = hgsdagqsvdwausy, type = Garden, task = 0.26666666666666666
Tree: name = rzxaxzfyteldxot, year = 367, task = 0.26666666666666666
Shrub: name = plsksrenhbulnfm, type = July, task = 0.13333333333333333
Tree: name = lhxkwykrdvfdmmx, year = 742, task = 0.06666666666666667
Flower: name = wqangxmbsuipjyw, type = Wild, task = 0.26666666666666666
Flower: name = kjxbjshneqoioit, type = Wild, task = 0.3333333333333333
Shrub: name = lavrikxsmuwlmgr, type = May, task = 0.2
Shrub: name = zdgdpjvumyhnfsa, type = March, task = 0.2
Shrub: name = zeyrbomztoxbvkx, type = September, task = 0.26666666666666666
Shrub: name = fkbdytxgqwkcbzn, type = July, task = 0.06666666666666667
Shrub: name = bfyzwpwnbzccyka, type = March, task = 0.2
Flower: name = fqnavblkuvtxlaq, type = Domestic, task = 0.2
Tree: name = bcbazckylclvgon, year = 1557, task = 0.2
Shrub: name = bfonkvzghhjhjtc, type = January, task = 0.06666666666666667
Shrub: name = oyybqvwumpmkara, type = June, task = 0.4
Tree: name = rrmunxuvpbwtinb, year = 628, task = 0.2
Shrub: name = huwgclkdfrpxgol, type = January, task = 0.13333333333333333
Shrub: name = xhpwanicwtgysjz, type = March, task = 0.2
Flower: name = dwmifacjhxektqw, type = Wild, task = 0.2
Flower: name = nfloyhgmdzerygh, type = Domestic, task = 0.26666666666666666
Tree: name = zwnwlnryfqdztgg, year = 1840, task = 0.06666666666666667
Tree: name = kobvxquspeflcad, year = 879, task = 0.26666666666666666
Tree: name = rhqwmbnhpeftwmr, year = 1592, task = 0.06666666666666667
Tree: name = myllwxvuueuazzx, year = 483, task = 0.4
Tree: name = yabkkyprbkekjbw, year = 380, task = 0.26666666666666666
Shrub: name = llodcbpmyzntmsq, type = September, task = 0.13333333333333333
Tree: name = ltirwlpnvaefiea, year = 151, task = 0.4
Tree: name = bhxukootccxhvvy, year = 576, task = 0.26666666666666666
Tree: name = admmdpmhkucyjem, year = 427, task = 0.26666666666666666
Tree: name = xtucgqygymkauob, year = 1533, task = 0.4
Flower: name = eanuqoaamkwznmw, type = Domestic, task = 0.4
Shrub: name = gomxauvmtpbyagu, type = October, task = 0.4
Tree: name = xkjbhucapkdwgih, year = 400, task = 0.2
Flower: name = puwcerlxsopvnqr, type = Wild, task = 0.2
Tree: name = uqqlmbhwedmxhrm, year = 665, task = 0.13333333333333333
Shrub: name = cacmcvuhslrgukn, type = June, task = 0.2
Tree: name = fzihpapbuvlhkre, year = 26, task = 0.26666666666666666
Shrub: name = xmufgiicbsqpgha, type = April, task = 0.26666666666666666
Tree: name = bzofdsamsztekri, year = 284, task = 0.26666666666666666
Shrub: name = qklordgrllivvxq, type = February, task = 0.13333333333333333
Shrub: name = ujcnmznndozdjgl, type = November, task = 0.13333333333333333
Tree: name = imvlsbgqrcxobvv, year = 687, task = 0.13333333333333333
Flower: name = wrrorkeamfxxznv, type = Domestic, task = 0.2
Flower: name = dvsvkytywvzrwxm, type = Garden, task = 0.13333333333333333
Flower: name = etngpqyqaqmkhzh, type = Wild, task = 0.2
Tree: name = ogwgkipbaswhliu, year = 1116, task = 0.3333333333333333
Flower: name = zgmsaurfkoadjor, type = Domestic, task = 0.3333333333333333
Shrub: name = xbpiosuaynvswbd, type = February, task = 0.3333333333333333
Tree: name = zeojsltbbcmsmmp, year = 980, task = 0.13333333333333333
Shrub: name = ytdmkbsststdctb, type = March, task = 0.06666666666666667
Flower: name = adakwunkqmldsbh, type = Wild, task = 0.2
Shrub: name = hyyjnubbvliqzyx, type = June, task = 0.3333333333333333
Flower: name = odwanytxqjorpyi, type = Garden, task = 0.4
Shrub: name = acrwyrihzpspeqa, type = March, task = 0.3333333333333333
Tree: name = svhjdhmradwjmsk, year = 1519, task = 0.06666666666666667
Tree: name = emfmcqcypabcygo, year = 39, task = 0.3333333333333333
Tree: name = twckczcdbwkngrp, year = 498, task = 0.0
Tree: name = zlltexsmzjgolaz, year = 1753, task = 0.2
Flower: name = nfehqoqseercomz, type = Garden, task = 0.3333333333333333
Shrub: name = yssxhfpacfewlbr, type = December, task = 0.2
Shrub: name = jefvwxtvvxycnaa, type = June, task = 0.26666666666666666
Flower: name = hcpmpovmynzcuug, type = Wild, task = 0.26666666666666666
Shrub: name = aetahmyqnoicvra, type = November, task = 0.4666666666666667
Tree: name = cvlltwqdgwimbrr, year = 1510, task = 0.06666666666666667
Tree: name = rowxlcyfhfbojlh, year = 1804, task = 0.2
Flower: name = ojpvncsxctiserg, type = Garden, task = 0.2
Shrub: name = smulvkemwlocunz, type = August, task = 0.26666666666666666
Shrub: name = ljuckssqkpnyytf, type = July, task = 0.2
Flower: name = ujygjozajefpvdw, type = Wild, task = 0.3333333333333333
Flower: name = bjjbipdpbzfhsum, type = Garden, task = 0.13333333333333333
Tree: name = fiqppojpffejmca, year = 1680, task = 0.26666666666666666
Shrub: name = mkuwpwrfgagcdlt, type = July, task = 0.13333333333333333
Tree: name = trcjxhbdgpzyywc, year = 1352, task = 0.13333333333333333
Shrub: name = gqjpmzalejxntoh, type = July, task = 0.2
Shrub: name = mhwepivxbsiofqo, type = August, task = 0.3333333333333333
Tree: name = czgezrolvlmekze, year = 1684, task = 0.26666666666666666
Shrub: name = rdxoqtjxdevnosd, type = October, task = 0.2
Tree: name = nhfbqfdmcuqdamu, year = 746, task = 0.2
Tree: name = xxmjojfegcfzyqm, year = 495, task = 0.2
Tree: name = rivrxwsbbpemxqg, year = 954, task = 0.13333333333333333
Flower: name = vsdvlbnadksxijz, type = Domestic, task = 0.13333333333333333
Flower: name = lwaqdjajfyhgxvn, type = Wild, task = 0.2
Tree: name = sdbczoxpmtojuym, year = 1152, task = 0.26666666666666666
Tree: name = tfrpplidhyrsziw, year = 1256, task = 0.2
Shrub: name = likxrronxvkwzvf, type = March, task = 0.13333333333333333
Tree: name = mlrdokmgtyelecs, year = 682, task = 0.26666666666666666
Tree: name = iyrijpfgnalcgsc, year = 1531, task = 0.26666666666666666
Shrub: name = omiqbeuhorbiegm, type = February, task = 0.4666666666666667
Flower: name = cjwdmbzlrbtyfej, type = Domestic, task = 0.13333333333333333
Shrub: name = ryfslyjimclbgjj, type = January, task = 0.2
Shrub: name = mkmroctmnjpruaz, type = September, task = 0.2
Flower: name = xwsxoantudbmjju, type = Domestic, task = 0.26666666666666666
Flower: name = yojpwsjirgnqwhz, type = Domestic, task = 0.2
Flower: name = dqtlywzqhtypqwk, type = Wild, task = 0.13333333333333333
Shrub: name = pnecsqwvjpovvae, type = July, task = 0.26666666666666666
Shrub: name = twsqwlumlsdohec, type = February, task = 0.2
Tree: name = ucxdplsgdsxpuza, year = 1029, task = 0.2
Shrub: name = nbjvmjqifgbcewm, type = March, task = 0.13333333333333333
Flower: name = pdbvlmpuixrqmig, type = Garden, task = 0.2
Tree: name = rnkxesruwpksehu, year = 818, task = 0.26666666666666666
Shrub: name = fjsrhfvcetlphya, type = June, task = 0.2
Shrub: name = juldnelksbyomws, type = June, task = 0.26666666666666666
Shrub: name = jaasjcybhtqwpar, type = June, task = 0.26666666666666666
Flower: name = omqddnetcbvbkjt, type = Domestic, task = 0.13333333333333333
Flower: name = okmpkgewkknyxhm, type = Domestic, task = 0.2
Tree: name = pcazndqviumkdhr, year = 181, task = 0.2
Tree: name = efzjtsaaoiuwqsc, year = 1895, task = 0.4
Flower: name = jsduypzehexzphg, type = Garden, task = 0.26666666666666666
Tree: name = khbnubcnctckvdm, year = 164, task = 0.06666666666666667
Shrub: name = pndhopcjslyykui, type = June, task = 0.3333333333333333
Flower: name = kckmwzmubhbzjcn, type = Garden, task = 0.06666666666666667
Tree: name = qnfgwnxuowhkojq, year = 315, task = 0.2
Flower: name = btlhwnsuakrvptr, type = Wild, task = 0.13333333333333333
Shrub: name = rsnhffoahnkebwu, type = July, task = 0.26666666666666666
Flower: name = izohoxcqweqeypu, type = Domestic, task = 0.4666666666666667
Tree: name = epojasnikyqhuqu, year = 77, task = 0.4666666666666667
Flower: name = lwcmwnpvfqpplot, type = Wild, task = 0.06666666666666667
Flower: name = frbtymuqyvzfaco, type = Garden, task = 0.3333333333333333
Shrub: name = apgpeozjrznnojx, type = March, task = 0.26666666666666666
Shrub: name = hsyhausinojizld, type = July, task = 0.4
Tree: name = behjorilcmdrwlb, year = 1077, task = 0.2
Flower: name = rxwholopjybbzls, type = Wild, task = 0.2
Shrub: name = dfmnfbbmhyueyfy, type = March, task = 0.3333333333333333
Tree: name = doqtlsinpzvulaw, year = 922, task = 0.26666666666666666
Tree: name = yytufbmcwpmocpu, year = 651, task = 0.3333333333333333
Shrub: name = vubjmdzzanjtprk, type = February, task = 0.13333333333333333
Tree: name = jkipfryqcuiduhm, year = 178, task = 0.3333333333333333
Tree: name = dwqnqbdilyklneb, year = 1990, task = 0.2
Flower: name = jgmhunvwdheqnac, type = Wild, task = 0.2
Flower: name = kxsgilditiguwuv, type = Domestic, task = 0.3333333333333333
Flower: name = vahxusigzvcvchw, type = Domestic, task = 0.2
Flower: name = uncwvybeceemhqx, type = Garden, task = 0.3333333333333333
Flower: name = doiuaiveijgzqfp, type = Garden, task = 0.4666666666666667
Shrub: name = mtwrvlglkxmqoir, type = May, task = 0.13333333333333333
Tree: name = gxbuvwqvjfdvkwd, year = 715, task = 0.06666666666666667
Flower: name = wgyletmfwygiawd, type = Domestic, task = 0.3333333333333333
Shrub: name = qqaydtyhpjoguhn, type = December, task = 0.3333333333333333
Flower: name = jjtlgunwlpwbhvk, type = Garden, task = 0.06666666666666667
Shrub: name = rnelfliyjhgutpl, type = June, task = 0.26666666666666666
Shrub: name = mxrcaszthpeuqou, type = March, task = 0.3333333333333333
Flower: name = vqdxjmnoqlhkqsu, type = Wild, task = 0.13333333333333333
Tree: name = qjwfjbruqluycmv, year = 673, task = 0.2
Flower: name = hxoezxsvtbfyjqa, type = Domestic, task = 0.26666666666666666
Flower: name = tdhldqcwsbgipgg, type = Domestic, task = 0.06666666666666667
Flower: name = xowjmcuodrnqquv, type = Garden, task = 0.26666666666666666
Tree: name = qhezhtpksctlgcm, year = 1076, task = 0.06666666666666667
Flower: name = nddbnpzxjeirssj, type = Domestic, task = 0.13333333333333333
Shrub: name = kbjqpiylwdtmziv, type = February, task = 0.2
Shrub: name = lfjhjxnbhxbntxi, type = February, task = 0.06666666666666667
Flower: name = jozghtzinxqhttc, type = Garden, task = 0.13333333333333333
Tree: name = bigwhweykidznxr, year = 131, task = 0.26666666666666666
Flower: name = wtqtaddparnrqzl, type = Domestic, task = 0.13333333333333333
Flower: name = qmayediaurxcxsj, type = Domestic, task = 0.4
Flower: name = hixyspwalbromyc, type = Domestic, task = 0.3333333333333333
Shrub: name = noajglfyafmydyh, type = August, task = 0.4
Flower: name = yfhwlpumcxnklzc, type = Domestic, task = 0.13333333333333333
Shrub: name = myssoydcddubdwv, type = April, task = 0.26666666666666666
Tree: name = udxivbetjtqeaxt, year = 1305, task = 0.3333333333333333
Tree: name = idyymjvdtwlmfqc, year = 429, task = 0.2
Tree: name = mlkvexekwjaphuo, year = 415, task = 0.3333333333333333
Flower: name = qztkgxgzapuczyh, type = Garden, task = 0.2
Flower: name = szgsavuxuxnbrus, type = Garden, task = 0.26666666666666666
Tree: name = xyxuavzyvximfss, year = 1619, task = 0.3333333333333333
Flower: name = dobnhcvahenutpc, type = Garden, task = 0.26666666666666666
Tree: name = xxudtnfcopxcvuq, year = 133, task = 0.2
Flower: name = whcbouorbudhgle, type = Garden, task = 0.3333333333333333
Tree: name = gmbqidvwgtcmbrz, year = 344, task = 0.06666666666666667
Shrub: name = bxbhfvhljdbhkgm, type = May, task = 0.0
Shrub: name = amcdqhsctkninkb, type = February, task = 0.13333333333333333
Tree: name = uiadwmevhdklape, year = 545, task = 0.4
Shrub: name = ymxzksfdzevjuot, type = February, task = 0.26666666666666666
Flower: name = seeniyeskmyunvu, type = Wild, task = 0.5333333333333333
Flower: name = xwrledhqsmilaii, type = Wild, task = 0.3333333333333333
Shrub: name = ujqqkbpkuwavnvw, type = November, task = 0.2
Shrub: name = tetchkzcfxjnfyq, type = December, task = 0.13333333333333333
Shrub: name = xtbstbtdvqkavrp, type = April, task = 0.06666666666666667
Tree: name = qmydcqzpfvlwegu, year = 314, task = 0.2
Flower: name = taqjplcuglocpuz, type = Garden, task = 0.26666666666666666
Shrub: name = qwcmiqiztngpvwq, type = June, task = 0.13333333333333333
Shrub: name = zmbyuavmgafvlpm, type = March, task = 0.26666666666666666
Tree: name = flqvopsfuvfeiei, year = 943, task = 0.4
Flower: name = kykgfduruacmrhs, type = Wild, task = 0.26666666666666666
Tree: name = mkpyljkonyltufa, year = 275, task = 0.3333333333333333
Shrub: name = jduaskcligpvdov, type = July, task = 0.26666666666666666
Shrub: name = sqvghfjbdhdksdu, type = October, task = 0.06666666666666667
Flower: name = dbnpmqdyhervxtr, type = Garden, task = 0.13333333333333333
Tree: name = irumifrznksjbvz, year = 990, task = 0.2
Tree: name = fvsuauyvvdjgpeb, year = 1421, task = 0.3333333333333333
Shrub: name = tuhoadiwlhtyyqk, type = December, task = 0.4
Shrub: name = vhlbzwzlsbiycwg, type = April, task = 0.13333333333333333
Tree: name = ogphwvkevnwotti, year = 1956, task = 0.26666666666666666
Tree: name = ozwwlunfoedkabr, year = 114, task = 0.3333333333333333
Tree: name = wfobmnpsmazyjjd, year = 1008, task = 0.2
Shrub: name = lktjrorwzjsszsd, type = July, task = 0.06666666666666667
Flower: name = sbvfpozrzwwmufj, type = Domestic, task = 0.13333333333333333
Shrub: name = rgknlryjphztaaa, type = February, task = 0.26666666666666666
Tree: name = kjxjzejofxfvmhs, year = 1707, task = 0.13333333333333333
Tree: name = yimxozgopkzadwe, year = 415, task = 0.4
Tree: name = uaejkgkddmpwjpj, year = 875, task = 0.2
Flower: name = jrnjukepfyptzev, type = Garden, task = 0.26666666666666666
Tree: name = qvydklnccencsrd, year = 1127, task = 0.13333333333333333
Shrub: name = lfsfmphcxjvgfae, type = August, task = 0.13333333333333333
Shrub: name = hvscqisatcxrmxj, type = September, task = 0.13333333333333333
Shrub: name = qvdaaaqyptbsrcf, type = April, task = 0.26666666666666666
Tree: name = icjgxgnhzsyithx, year = 373, task = 0.2
Shrub: name = pdowdovaozvearo, type = March, task = 0.4666666666666667
Flower: name = katdvweahpqxmry, type = Wild, task = 0.26666666666666666
Tree: name = gdudkhypxikoecd, year = 1397, task = 0.3333333333333333
Flower: name = ffecnanlercwant, type = Wild, task = 0.26666666666666666
Shrub: name = fiiacndxcmkwqha, type = August, task = 0.26666666666666666
Flower: name = efwhojcpwcavgsr, type = Wild, task = 0.2
Tree: name = asgfwlluoccfwiv, year = 1822, task = 0.26666666666666666
Tree: name = qrhsnsbesnympsp, year = 1644, task = 0.13333333333333333
Shrub: name = wtkzwajkjshfqvw, type = February, task = 0.06666666666666667
Flower: name = gmpdedxhvajfusq, type = Garden, task = 0.2
Tree: name = koxavcgyvvyxsmi, year = 1543, task = 0.3333333333333333
Flower: name = grwaoawhlzqmdhe, type = Domestic, task = 0.26666666666666666
Tree: name = ulxiulsmyqtugll, year = 1808, task = 0.3333333333333333
Tree: name = ydrfnubpelehhuw, year = 1755, task = 0.3333333333333333
Shrub: name = qjguskkqvkqlaxy, type = September, task = 0.2
Tree: name = iqygearfxgvfctn, year = 1797, task = 0.26666666666666666
Tree: name = czkjkfjqsisdvgo, year = 689, task = 0.13333333333333333
Flower: name = zcbtqrjhegftnyg, type = Domestic, task = 0.13333333333333333
Tree: name = qvhsntqjrcaoaeg, year = 641, task = 0.26666666666666666
Flower: name = oclkvrxxjucaipe, type = Domestic, task = 0.3333333333333333
Flower: name = eyremxtbdttiaqt, type = Domestic, task = 0.3333333333333333
Flower: name = toefmquqhzdmndk, type = Domestic, task = 0.2
Flower: name = rffdvustlcgugkk, type = Wild, task = 0.13333333333333333
Flower: name = xwxvcpwhafgoolx, type = Garden, task = 0.2
Shrub: name = bngdplxattuarsx, type = January, task = 0.2
Flower: name = smyufxfhxmhyhgp, type = Garden, task = 0.2
Shrub: name = iyqiauzgmqioezz, type = June, task = 0.5333333333333333
Tree: name = rajrtyizwtbhzta, year = 285, task = 0.26666666666666666
Tree: name = mstnwllpnoukquf, year = 1569, task = 0.2
Shrub: name = luysgitkhhhltvb, type = March, task = 0.2
Shrub: name = wqbdjflgdmtfavc, type = May, task = 0.06666666666666667
Shrub: name = xswduwhqyjgxdhb, type = November, task = 0.13333333333333333
Shrub: name = zigzkawdfstqvum, type = January, task = 0.2
Flower: name = vdffrzfqoatggpu, type = Domestic, task = 0.2
Shrub: name = dnokevojzmlxuog, type = March, task = 0.3333333333333333
Shrub: name = ervtjzhlccfkknp, type = February, task = 0.06666666666666667
Shrub: name = uxsaszzclpfydqw, type = May, task = 0.2
Flower: name = hyqeubqiqappnba, type = Garden, task = 0.4
Flower: name = yoxgeuoqirohnex, type = Garden, task = 0.5333333333333333
Flower: name = ofqljqqdzkcluve, type = Garden, task = 0.2
Flower: name = ukcsihetwskltnz, type = Garden, task = 0.2
Shrub: name = qstsfdblkwmfnfm, type = August, task = 0.0
Shrub: name = shnyoulbuvmwqmm, type = September, task = 0.26666666666666666
Flower: name = tnfwwwvxhxaagsk, type = Garden, task = 0.13333333333333333
Shrub: name = kauzikomaqslxbt, type = January, task = 0.3333333333333333
Flower: name = gjackcwocyyzihq, type = Domestic, task = 0.3333333333333333
Flower: name = gdgeuxupfgjmwjm, type = Garden, task = 0.2
Tree: name = jwifnidadbrhcti, year = 880, task = 0.26666666666666666
Tree: name = njacuorrcezqtyw, year = 279, task = 0.3333333333333333
Shrub: name = ezepqtvplrzseni, type = March, task = 0.26666666666666666
Flower: name = acceaogawnolqul, type = Garden, task = 0.4666666666666667
Tree: name = teiopkgilrdlfaj, year = 84, task = 0.3333333333333333
Flower: name = ddlcjfieycwdlhm, type = Domestic, task = 0.2
Shrub: name = cjrmoggutfypdto, type = July, task = 0.26666666666666666
Shrub: name = kbheyggsdmzisbz, type = June, task = 0.2
Flower: name = fsycpjxffbllrtw, type = Garden, task = 0.06666666666666667
Tree: name = oefqayqegrrpedz, year = 206, task = 0.4
Flower: name = khsxnpcpgaivmbp, type = Wild, task = 0.13333333333333333
Tree: name = judbbaralykdxpp, year = 1275, task = 0.26666666666666666
Shrub: name = knbbooisjztisae, type = January, task = 0.4
Tree: name = irsmnyktncsnlur, year = 562, task = 0.2
Shrub: name = vojjhupgorauxyj, type = April, task = 0.4
Tree: name = eygkjcspkteslmi, year = 213, task = 0.26666666666666666
Flower: name = xukcrhsizzwjnwx, type = Wild, task = 0.13333333333333333
Shrub: name = lggiovqyoeqnpvz, type = February, task = 0.3333333333333333
Flower: name = obtzcnkhdjjiewk, type = Wild, task = 0.2
Shrub: name = fakozjvtmqjiyrc, type = April, task = 0.26666666666666666
Tree: name = jystajjzgqnvybj, year = 1470, task = 0.2
Flower: name = honbsaodbvsvofy, type = Domestic, task = 0.3333333333333333
Tree: name = lcwnkxwzoxtinak, year = 733, task = 0.2
Flower: name = gmdhcvksmvotirt, type = Wild, task = 0.13333333333333333
Shrub: name = macthbyjezflmgq, type = October, task = 0.2
Shrub: name = irjhytezvkrcezx, type = November, task = 0.26666666666666666
Flower: name = mhjzlxtdugdefnt, type = Domestic, task = 0.13333333333333333
Flower: name = orecwgqcqtkfvii, type = Domestic, task = 0.26666666666666666
Flower: name = pdmhgxnehdibdag, type = Garden, task = 0.2
Flower: name = mljgbizgzqalycv, type = Domestic, task = 0.2
Tree: name = zqaqsmgidblilgd, year = 1238, task = 0.2
Shrub: name = yjsgpvzucyxjcss, type = August, task = 0.2
Flower: name = znwmvwwbzxwjosy, type = Domestic, task = 0.13333333333333333
Flower: name = umahxzlusyzaeqz, type = Domestic, task = 0.4
Shrub: name = vqvwitmueaqhwqn, type = March, task = 0.26666666666666666
Flower: name = jgfrscdrpftrtkv, type = Garden, task = 0.0
Shrub: name = rtnavnsofmgyjfd, type = August, task = 0.2
Tree: name = jmgqixytvagbmdb, year = 1080, task = 0.2
Tree: name = cpqytktgfvsjooe, year = 1765, task = 0.26666666666666666
Tree: name = wkkihqmeghnriod, year = 719, task = 0.26666666666666666
Flower: name = khgmyducqveyjgi, type = Domestic, task = 0.3333333333333333
Tree: name = vxwwwxchuhwjfjn, year = 603, task = 0.06666666666666667
Flower: name = cujtwepmlnacwnj, type = Wild, task = 0.2
Shrub: name = fmdmexiffwlvfru, type = August, task = 0.2
Shrub: name = yzsdfctlvuxxtxf, type = August, task = 0.13333333333333333
Flower: name = yfjcidbksoevcga, type = Domestic, task = 0.3333333333333333
Flower: name = henctzyuwqgbpip, type = Garden, task = 0.26666666666666666
Shrub: name = wxzulxczqzngvbh, type = March, task = 0.06666666666666667
